City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,tralee,52.2704,-9.7026,15.93,98,100,3.24,IE,2024-08-26 19:53:21
135,el granada,37.5027,-122.4694,27.22,68,20,3.6,US,2024-08-26 19:52:07
136,basco,20.4487,121.9702,29.29,74,100,6.23,PH,2024-08-26 19:53:24
137,tual,-5.6667,132.75,25.65,85,52,8.04,ID,2024-08-26 19:44:53
138,filadelfia,39.9523,-75.1638,32.16,52,40,4.12,US,2024-08-26 19:50:04
139,sidi bouzid,35.0382,9.4849,27.19,52,0,4.11,TN,2024-08-26 19:53:28
140,yeppoon,-23.1333,150.7333,18.88,86,91,1.25,AU,2024-08-26 19:53:30
141,vila do maio,15.1333,-23.2167,26.76,70,91,1.27,CV,2024-08-26 19:53:31
142,berezovyy,51.6667,135.7,14.94,99,100,0.55,RU,2024-08-26 19:53:32
143,terbanggi besar,-4.8667,105.2333,23.49,90,71,2.93,ID,2024-08-26 19:53:34
144,al ghayzah,16.2079,52.176,26.21,82,67,2.94,YE,2024-08-26 19:53:35
145,puerto real,36.5282,-6.1901,28.07,83,0,2.06,ES,2024-08-26 19:53:36
146,camabatela,-8.1881,15.375,21.34,24,79,0.77,AO,2024-08-26 19:53:38
147,ebon,4.582,168.6964,28.9,75,27,4.78,MH,2024-08-26 19:53:39
148,horta,38.5333,-28.6333,25.8,89,40,5.66,PT,2024-08-26 19:53:41
149,hami,42.8,93.45,27.9,33,34,4.02,CN,2024-08-26 19:53:42
150,broome,42.2506,-75.833,28.09,53,75,0.89,US,2024-08-26 19:53:44
151,ancud,-41.8697,-73.8203,8.67,59,58,3.98,CL,2024-08-26 19:53:45
152,luderitz,-26.6481,15.1594,13.71,77,0,5.36,NA,2024-08-26 19:53:46
153,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,0,4.0,RU,2024-08-26 19:53:48
154,bodo,67.28,14.405,11.02,86,75,8.75,NO,2024-08-26 19:53:49
155,carnarvon,-24.8667,113.6333,18.56,77,27,6.17,AU,2024-08-26 19:53:51
156,china,25.7,-99.2333,35.83,30,5,3.02,MX,2024-08-26 19:53:52
157,usinsk,65.9939,57.5281,14.45,68,100,3.74,RU,2024-08-26 19:53:53
158,laojunmiao,39.8333,97.7333,18.15,50,100,2.32,CN,2024-08-26 19:53:55
159,queenstown,-31.8976,26.8753,16.26,19,2,6.89,ZA,2024-08-26 19:50:17
160,albany,42.6001,-73.9662,27.04,63,17,0.45,US,2024-08-26 19:52:47
161,minas de marcona,-15.2119,-75.1103,17.96,47,41,7.63,PE,2024-08-26 19:53:59
162,saldanha,-33.0117,17.9442,14.03,91,41,5.32,ZA,2024-08-26 19:54:00
163,calama,-22.4667,-68.9333,22.27,5,0,10.29,CL,2024-08-26 19:44:07
164,angaur state,6.906,134.13,28.6,73,14,1.38,PW,2024-08-26 19:54:03
165,endicott,42.0984,-76.0494,28.41,59,75,0.45,US,2024-08-26 19:50:26
166,sur,22.5667,59.5289,31.51,56,100,3.57,OM,2024-08-26 19:54:06
167,xinqing,48.2333,129.5,13.81,98,99,1.29,CN,2024-08-26 19:54:08
168,castillos,-34.1667,-53.8333,12.17,70,38,2.75,UY,2024-08-26 19:54:09
169,lethem,3.3803,-59.7968,32.3,53,77,2.04,GY,2024-08-26 19:54:10
170,arteche,12.2645,125.4048,24.87,95,91,2.51,PH,2024-08-26 19:54:12
171,brookings,44.3114,-96.7984,30.14,78,75,4.63,US,2024-08-26 19:52:13
172,namibe,-15.1961,12.1522,17.73,86,45,1.68,AO,2024-08-26 19:54:15
173,thompson,55.7435,-97.8558,15.09,55,75,5.66,CA,2024-08-26 19:54:17
174,keflavik,64.0049,-22.5624,9.24,76,75,5.66,IS,2024-08-26 19:54:18
175,pangai,-19.8,-174.35,23.06,88,40,3.09,TO,2024-08-26 19:54:20
176,aguadilla,18.4275,-67.1541,29.0,86,51,3.58,PR,2024-08-26 19:54:22
177,mancio lima,-7.6142,-72.8958,25.04,50,20,3.6,BR,2024-08-26 19:54:23
178,ciudad del carmen,18.6333,-91.8333,30.03,67,30,4.05,MX,2024-08-26 19:54:25
179,vallenar,-28.5708,-70.7581,24.58,22,1,2.7,CL,2024-08-26 19:54:26
180,port elizabeth,-33.918,25.5701,17.4,76,0,2.57,ZA,2024-08-26 19:54:28
181,constantia,44.1833,28.65,22.61,70,0,5.04,RO,2024-08-26 19:54:29
182,guacimo,10.2104,-83.6807,28.41,85,98,1.45,CR,2024-08-26 19:54:31
183,mezhdurechenskiy,59.6,65.9333,12.47,76,0,1.09,RU,2024-08-26 19:54:33
184,papatowai,-46.5619,169.4708,5.87,94,90,3.33,NZ,2024-08-26 19:54:34
185,brush,40.2589,-103.6238,26.57,53,0,5.14,US,2024-08-26 19:50:07
186,nhamunda,-2.1861,-56.7131,39.73,15,10,2.97,BR,2024-08-26 19:54:37
187,trinity beach,-16.7888,145.6968,21.94,78,27,4.63,AU,2024-08-26 19:54:39
188,lebu,-37.6167,-73.65,11.5,73,7,4.19,CL,2024-08-26 19:54:40
189,yuzhno-kurilsk,44.0306,145.8556,18.59,100,100,3.23,RU,2024-08-26 19:54:42
190,juegang,32.3174,121.1855,25.84,89,100,3.4,CN,2024-08-26 19:54:43
191,toba,34.4833,136.85,27.28,86,100,6.19,JP,2024-08-26 19:54:44
192,haiku-pauwela,20.9219,-156.3051,26.81,81,40,9.26,US,2024-08-26 19:54:46
193,labrador city,52.9463,-66.9114,25.66,40,40,5.36,CA,2024-08-26 19:50:11
194,egilsstadir,65.2653,-14.3948,10.95,66,20,4.12,IS,2024-08-26 19:45:59
195,puerto ayora,-0.7393,-90.3518,20.86,90,70,3.13,EC,2024-08-26 19:54:50
196,puerto colombia,10.9878,-74.9547,25.05,72,100,2.55,CO,2024-08-26 19:54:51
197,boa vista,2.8197,-60.6733,30.99,51,75,4.63,BR,2024-08-26 19:53:18
198,anadyr,64.75,177.4833,4.28,86,40,6.0,RU,2024-08-26 19:54:54
199,buenaventura,3.8801,-77.0312,28.06,75,69,2.54,CO,2024-08-26 19:50:02
200,ingeniero jacobacci,-41.3427,-69.5448,8.11,44,49,10.12,AR,2024-08-26 19:54:57
201,sao desiderio,-12.3633,-44.9733,35.37,13,3,0.75,BR,2024-08-26 19:54:58
202,brades,16.7918,-62.2106,30.76,70,20,7.72,MS,2024-08-26 19:55:00
203,conde,-7.2597,-34.9075,27.7,57,20,7.72,BR,2024-08-26 19:53:45
204,vila velha,-20.3297,-40.2925,20.97,81,40,9.39,BR,2024-08-26 19:51:49
205,pangody,65.85,74.4859,12.99,84,16,2.4,RU,2024-08-26 19:55:04
206,mundri,-6.9558,111.71,23.57,69,100,2.91,ID,2024-08-26 19:55:06
207,alvaraes,-3.2208,-64.8042,29.93,25,26,1.71,BR,2024-08-26 19:55:07
208,santa terezinha,-29.9002,-50.0904,14.73,64,2,5.7,BR,2024-08-26 19:55:08
209,thunder bay,48.4001,-89.3168,28.99,74,75,2.57,CA,2024-08-26 19:43:56
210,ath thawrah,35.8469,38.5443,30.37,47,0,4.69,SY,2024-08-26 19:55:11
211,kete krachi,7.7939,-0.0498,25.24,90,100,2.85,GH,2024-08-26 19:55:12
212,la sarre,48.8002,-79.1996,29.19,35,100,5.05,CA,2024-08-26 19:55:14
213,sinop,41.7711,34.8709,17.19,89,59,1.67,TR,2024-08-26 19:48:39
214,mount isa,-20.7333,139.5,18.87,42,0,2.57,AU,2024-08-26 19:47:39
215,nizhniy ingash,56.2,96.53,13.15,74,27,4.1,RU,2024-08-26 19:55:18
216,gokak,16.1667,74.8333,22.53,89,100,5.8,IN,2024-08-26 19:55:19
217,talnakh,69.4865,88.3972,12.87,76,71,2.45,RU,2024-08-26 19:55:21
218,ad dabbah,18.05,30.95,35.04,39,77,3.59,SD,2024-08-26 19:55:22
219,greenville,35.6127,-77.3663,31.18,51,0,2.24,US,2024-08-26 19:52:49
220,balkanabat,39.5108,54.3671,31.56,15,2,7.73,TM,2024-08-26 19:55:25
221,margaret river,-33.95,115.0667,14.73,89,100,9.05,AU,2024-08-26 19:55:27
222,kerema,-7.9631,145.7785,24.67,88,100,3.01,PG,2024-08-26 19:55:29
223,kavieng,-2.5744,150.7967,27.28,78,82,6.07,PG,2024-08-26 19:55:30
224,mollendo,-17.0231,-72.0147,16.85,72,12,3.94,PE,2024-08-26 19:55:32
225,sinabang,2.4803,96.3801,24.03,93,100,2.19,ID,2024-08-26 19:49:40
226,ust-nera,64.5667,143.2,10.2,85,100,2.69,RU,2024-08-26 19:55:35
227,mejit,10.2753,170.8646,28.89,77,90,8.01,MH,2024-08-26 19:55:36
228,kasungu,-13.0333,33.4833,17.32,49,0,1.88,MW,2024-08-26 19:55:37
229,alo,6.5486,4.2686,24.06,93,100,2.87,NG,2024-08-26 19:47:44
230,floresville,29.1336,-98.1561,32.15,55,69,6.69,US,2024-08-26 19:55:40
231,millau,44.0833,2.9167,13.75,67,0,2.44,FR,2024-08-26 19:55:41
232,skelleftea,64.7507,20.9528,15.56,100,0,5.66,SE,2024-08-26 19:55:43
233,red wing,44.5625,-92.5338,34.94,66,0,3.09,US,2024-08-26 19:55:44
234,la curva,12.4048,121.0459,26.3,85,100,1.95,PH,2024-08-26 19:55:46
235,berdigestyakh,62.0989,126.6992,7.06,98,29,1.97,RU,2024-08-26 19:55:47
236,sitka,57.0531,-135.33,13.94,77,20,2.06,US,2024-08-26 19:55:48
237,mugia,43.1041,-9.2179,19.39,87,44,6.74,ES,2024-08-26 19:55:50
238,la passe,45.5549,-0.8967,18.15,62,54,4.8,FR,2024-08-26 19:55:51
239,kourou,5.1552,-52.6478,26.55,72,99,1.47,GF,2024-08-26 19:55:53
240,guercif,34.2257,-3.3536,27.48,56,9,6.49,MA,2024-08-26 19:55:54
241,vilyuchinsk,52.9306,158.4028,9.15,62,100,3.46,RU,2024-08-26 19:55:56
242,stratham station,43.0529,-70.8953,25.06,78,75,3.6,US,2024-08-26 19:55:57
243,weno,7.4515,151.8468,25.97,89,100,1.54,FM,2024-08-26 19:55:58
244,puerto aysen,-45.4,-72.7,5.86,95,98,2.55,CL,2024-08-26 19:56:00
245,kincardine,56.0667,-3.7167,15.15,91,100,3.06,GB,2024-08-26 19:56:01
246,alzamay,55.5562,98.6644,10.97,85,11,1.75,RU,2024-08-26 19:56:03
247,san luis de la loma,17.2706,-100.8939,30.97,70,75,3.47,MX,2024-08-26 19:56:04
248,kachkanar,58.7,59.4948,11.22,94,7,1.4,RU,2024-08-26 19:56:06
249,pyin oo lwin,22.0333,96.4667,19.0,97,100,0.4,MM,2024-08-26 19:56:07
250,tolanaro,-25.0319,46.9987,21.04,78,0,11.83,MG,2024-08-26 19:56:09
251,katabu,-4.9333,122.5167,22.98,93,98,1.76,ID,2024-08-26 19:56:10
252,port blair,11.6667,92.75,27.02,94,100,1.03,IN,2024-08-26 19:56:12
253,papao,-17.75,-149.55,24.82,66,100,11.38,PF,2024-08-26 19:56:14
254,cuiaba,-15.5961,-56.0967,25.96,24,0,4.63,BR,2024-08-26 19:52:17
255,port alfred,-33.5906,26.891,16.13,70,4,3.48,ZA,2024-08-26 19:56:16
256,cidreira,-30.1811,-50.2056,14.03,69,0,5.25,BR,2024-08-26 19:56:18
257,enewetak,11.3474,162.3373,28.91,79,14,8.71,MH,2024-08-26 19:56:20
258,yoro,15.1333,-87.1333,31.29,51,40,2.57,HN,2024-08-26 19:56:21
259,imbituba,-28.24,-48.6703,13.19,65,0,3.96,BR,2024-08-26 19:56:23
260,kiunga,-6.1219,141.2906,22.16,98,100,1.29,PG,2024-08-26 19:56:24
261,uturoa,-16.7333,-151.4333,23.87,70,100,10.54,PF,2024-08-26 19:56:26
262,hamilton,39.1834,-84.5333,35.11,43,20,2.57,US,2024-08-26 19:47:04
263,kayangel,8.0823,134.7173,28.68,73,29,2.06,PW,2024-08-26 19:56:29
264,yallahs,17.8748,-76.5624,33.85,62,3,5.47,JM,2024-08-26 19:56:30
265,gizo,-8.103,156.8419,26.49,79,100,6.87,SB,2024-08-26 19:56:32
266,ngorongoro,-3.2397,35.4875,12.96,66,70,1.54,TZ,2024-08-26 19:56:33
267,paradip garh,20.3167,86.6167,27.41,84,100,3.71,IN,2024-08-26 19:56:35
268,dalbandin,28.8947,64.4101,32.75,11,0,2.56,PK,2024-08-26 19:56:36
269,lycksele,64.5954,18.6735,9.93,93,75,1.54,SE,2024-08-26 19:56:38
270,san jeronimo de juarez,17.1333,-100.4667,31.09,69,99,3.52,MX,2024-08-26 19:56:39
271,amungan,15.3652,119.9582,27.27,80,100,2.47,PH,2024-08-26 19:56:40
272,porto novo,6.4965,2.6036,24.9,87,100,4.15,BJ,2024-08-26 19:56:42
273,sarkand,45.41,79.9186,15.39,39,13,1.74,KZ,2024-08-26 19:56:43
274,nadi,-17.8,177.4167,19.0,88,20,2.06,FJ,2024-08-26 19:56:45
275,badger,64.8,-147.5333,12.77,78,20,2.57,US,2024-08-26 19:56:46
276,golfito,8.639,-83.166,25.29,85,99,1.35,CR,2024-08-26 19:56:47
277,shindand,33.3029,62.1474,27.5,16,0,8.45,AF,2024-08-26 19:56:49
278,paracuru,-3.41,-39.0306,26.32,73,60,6.53,BR,2024-08-26 19:56:50
279,luena,-11.7833,19.9167,16.96,24,4,1.83,AO,2024-08-26 19:56:52
280,shar,49.5886,81.0453,14.36,53,7,2.55,KZ,2024-08-26 19:56:53
281,almodovar,37.4959,-8.0937,23.13,53,97,2.39,PT,2024-08-26 19:56:54
282,praia da vitoria,38.7333,-27.0667,28.14,69,20,3.8,PT,2024-08-26 19:56:56
283,ghadamis,30.1337,9.5007,35.21,19,95,4.28,LY,2024-08-26 19:56:57
284,sainyabuli,19.25,101.75,23.08,100,100,0.38,LA,2024-08-26 19:56:59
285,guaruja,-23.9931,-46.2564,15.92,26,75,3.09,BR,2024-08-26 19:52:53
286,illizi,26.4833,8.4667,32.85,17,0,2.52,DZ,2024-08-26 19:57:01
287,cill airne,52.05,-9.5167,16.05,99,100,3.28,IE,2024-08-26 19:57:03
288,sayansk,54.1088,102.1648,13.06,76,100,0.98,RU,2024-08-26 19:57:04
289,malango,-2.9627,119.9001,18.22,99,100,1.0,ID,2024-08-26 19:57:06
290,covington,39.0837,-84.5086,35.94,41,20,2.57,US,2024-08-26 19:57:07
291,barakani,-12.1356,44.4317,25.0,79,41,1.94,KM,2024-08-26 19:57:09
292,oruro,-17.9833,-67.15,20.27,18,20,3.09,BO,2024-08-26 19:57:10
293,selfoss,63.9331,-20.9971,10.02,83,94,2.67,IS,2024-08-26 19:57:11
294,tsiombe,-25.3,45.4833,19.95,67,0,1.56,MG,2024-08-26 19:57:13
295,utrik,11.2278,169.8474,28.87,71,90,8.52,MH,2024-08-26 19:57:14
296,kerikeri,-35.2268,173.9474,14.95,91,100,4.02,NZ,2024-08-26 19:57:16
297,nyaunglebin,17.95,96.7333,24.31,95,100,1.28,MM,2024-08-26 19:57:17
298,zurrieq,35.8311,14.4742,26.73,74,0,2.57,MT,2024-08-26 19:57:19
299,lucas,41.6501,-83.6666,33.98,40,0,4.12,US,2024-08-26 19:57:21
300,phang nga,8.4509,98.5298,23.41,97,64,1.49,TH,2024-08-26 19:57:22
